Recommended Course,"How much do you enjoy subjects like Math and Science? (0 = Not at all, 5 = Very much)","How interested are you in pursuing Engineering or Technical fields? (0 = Not interested, 5 = Very interested)","How comfortable are you with using computers and technology? (0 = Not comfortable, 5 = Very comfortable)","Do you prefer hands-on practical work over theoretical study? (0 = Strongly disagree, 5 = Strongly agree)","How much do you enjoy working with numbers and solving mathematical problems? (0 = Not at all, 5 = Very much)","Are you interested in learning about business operations and finance? (0 = Not interested, 5 = Very interested)","How much do you enjoy designing and creating things? (0 = Not at all, 5 = Very much)","How interested are you in healthcare and wellness fields? (0 = Not interested, 5 = Very interested)","Do you enjoy working with machines and understanding how they function? (0 = Not at all, 5 = Very much)","How interested are you in coding and software development? (0 = Not interested, 5 = Very interested)","Do you enjoy analyzing data and making sense of information? (0 = Not at all, 5 = Very much)","How important is job stability when considering your future career? (0 = Not important, 5 = Very important)","Are you interested in environmental issues and sustainability? (0 = Not interested, 5 = Very interested)","How much do you care about making a positive impact on society? (0 = Not at all, 5 = Very much)","How interested are you in the hospitality and tourism industry? (0 = Not interested, 5 = Very interested)","How passionate are you about media and communication? (0 = Not passionate, 5 = Very passionate)","How much do you enjoy solving complex scientific problems? (0 = Not at all, 5 = Very much)","How interested are you in managing projects or leading teams? (0 = Not interested, 5 = Very interested)","Do you prefer courses that involve a lot of teamwork or group projects? (0 = Strongly disagree, 5 = Strongly agree)","How important is it for you to have the opportunity to work internationally in your career? (0 = Not important, 5 = Very important)","How much do you enjoy practical design and creative arts? (0 = Not at all, 5 = Very much)","Are you interested in studying the life sciences or health sciences? (0 = Not interested, 5 = Very interested)","How much do you value sustainability and green technologies in your career choice? (0 = Not at all, 5 = Very much)","Do you have a strong interest in technology trends like AI and Data Science? (0 = Not interested, 5 = Very interested)","How much do you enjoy exploring cultural and social issues? (0 = Not at all, 5 = Very much)",Recommendation
Diploma in Health Management and Promotion,3,2,5,3,2,1,5,3,2,2,5,5,0,2,1,4,5,3,4,3,5,4,5,3,0,"Recommended course, you may find it interesting."
Diploma in Health Management and Promotion,2,0,4,2,0,2,2,3,3,4,5,2,4,0,1,3,1,3,2,5,4,3,1,1,0,"You might consider this course, but explore other options too."
Diploma in Health Management and Promotion,4,1,4,0,2,1,3,5,4,5,0,2,3,2,2,3,3,5,2,2,5,3,4,2,3,"You might consider this course, but explore other options too."
Diploma in Health Management and Promotion,5,1,3,4,2,5,2,4,1,3,4,3,0,0,1,0,5,4,2,4,1,0,0,1,3,"You might consider this course, but explore other options too."
Diploma in Health Management and Promotion,3,1,3,0,4,5,2,3,4,5,4,2,4,1,1,5,0,4,4,0,5,2,5,4,2,"You might consider this course, but explore other options too."
Diploma in Health Management and Promotion,0,4,3,5,5,0,5,3,5,2,0,0,0,2,2,4,3,3,2,0,3,1,0,3,5,"You might consider this course, but explore other options too."
Diploma in Health Management and Promotion,1,1,4,4,1,5,5,4,0,1,0,5,5,3,0,1,4,5,3,4,0,2,4,2,4,"You might consider this course, but explore other options too."
Diploma in Marine Science and Aquaculture,1,0,0,3,5,4,5,4,4,0,4,2,4,4,5,2,5,2,0,0,4,2,2,4,0,"You might consider this course, but explore other options too."
Diploma in Marine Science and Aquaculture,1,4,0,2,2,4,1,0,2,5,1,2,0,5,1,3,3,4,0,1,4,4,2,5,2,"You might consider this course, but explore other options too."
Diploma in Marine Science and Aquaculture,4,2,0,4,1,1,0,2,3,2,0,5,4,4,0,1,1,2,2,3,4,0,3,5,2,"You might consider this course, but explore other options too."
Diploma in Marine Science and Aquaculture,2,3,3,0,2,1,5,1,2,0,2,0,4,1,3,1,0,3,2,2,3,0,4,4,0,This course may not align well with your interests.
Diploma in Marine Science and Aquaculture,0,1,4,2,0,1,1,5,2,3,5,2,2,0,4,1,0,2,5,3,5,2,5,1,4,"You might consider this course, but explore other options too."
Diploma in Marine Science and Aquaculture,4,2,2,4,4,3,3,4,1,3,3,4,1,4,2,3,2,3,4,1,5,3,5,0,5,"Recommended course, you may find it interesting."
Diploma in Marine Science and Aquaculture,1,0,2,0,2,1,1,5,3,2,1,3,0,2,1,4,1,2,4,3,2,2,0,1,0,This course may not align well with your interests.
Diploma in Marine Science and Aquaculture,0,2,2,4,1,0,3,0,4,2,5,3,4,2,2,4,1,3,0,4,0,2,1,0,4,"You might consider this course, but explore other options too."
Diploma in Marine Science and Aquaculture,2,5,4,4,2,3,3,4,1,0,4,1,1,4,0,4,4,2,4,5,0,0,1,0,2,"You might consider this course, but explore other options too."
Diploma in Marine Science and Aquaculture,1,2,0,1,5,4,0,5,4,1,5,4,0,4,3,1,3,1,3,0,4,4,1,0,1,"You might consider this course, but explore other options too."
Diploma in Marine Science and Aquaculture,3,1,0,0,3,1,4,3,2,4,0,1,5,0,4,3,4,5,5,4,4,0,1,1,2,"You might consider this course, but explore other options too."
Diploma in Marine Science and Aquaculture,1,0,0,3,5,4,5,4,4,0,4,2,4,4,5,2,5,2,0,0,4,2,2,4,0,"You might consider this course, but explore other options too."
Diploma in Marine Science and Aquaculture,1,3,0,0,1,5,0,0,4,0,5,5,1,1,2,4,5,5,1,1,2,0,1,1,1,This course may not align well with your interests.
Diploma in Marine Science and Aquaculture,0,1,4,2,0,1,1,5,2,3,5,2,2,0,4,1,0,2,5,3,5,2,5,1,4,"You might consider this course, but explore other options too."
Diploma in Marine Science and Aquaculture,3,0,1,2,4,5,3,2,2,2,2,3,0,0,5,0,5,3,1,5,5,1,5,1,0,"You might consider this course, but explore other options too."
Diploma in Communication and Motion Design,4,0,3,5,2,5,4,4,0,0,3,3,4,1,1,4,1,5,5,5,5,3,3,4,5,"Recommended course, you may find it interesting."
Diploma in Communication and Motion Design,5,0,0,5,4,2,5,4,1,3,3,3,4,1,4,0,5,4,5,0,3,0,3,2,4,"You might consider this course, but explore other options too."
Diploma in Communication and Motion Design,5,0,1,5,1,0,4,0,4,4,1,2,3,2,0,1,0,0,0,2,5,4,0,0,3,This course may not align well with your interests.
Diploma in Communication and Motion Design,5,0,2,5,2,5,4,5,5,3,1,3,1,1,4,5,0,0,3,1,2,3,3,5,2,"You might consider this course, but explore other options too."
Diploma in Communication and Motion Design,4,4,3,5,0,5,5,3,5,5,1,2,4,3,2,4,5,1,4,2,2,0,5,1,0,"Recommended course, you may find it interesting."
Diploma in Communication and Motion Design,3,4,4,5,0,1,5,4,3,1,0,3,1,1,1,4,1,5,5,5,5,5,5,3,1,"Recommended course, you may find it interesting."
Diploma in Communication and Motion Design,5,0,3,5,1,5,5,1,0,3,0,3,1,1,5,0,3,3,2,2,0,2,3,0,1,"You might consider this course, but explore other options too."
Diploma in Communication and Motion Design,5,5,4,5,3,3,5,3,3,2,1,2,4,1,1,2,4,0,2,1,0,4,2,1,2,"You might consider this course, but explore other options too."
Diploma in Communication and Motion Design,5,4,1,5,3,2,4,1,1,4,1,3,3,2,0,0,2,0,2,3,3,2,1,2,0,"You might consider this course, but explore other options too."
Diploma in Communication and Motion Design,3,4,2,3,1,3,5,2,4,3,5,2,3,1,4,2,0,2,4,1,2,4,3,5,4,"You might consider this course, but explore other options too."
Diploma in Communication and Motion Design,4,4,3,5,0,5,5,3,5,5,1,2,4,3,2,4,5,1,4,2,2,0,5,1,0,"Recommended course, you may find it interesting."
Diploma in Communication and Motion Design,5,1,3,5,1,4,5,2,4,3,4,2,2,2,5,1,4,1,2,1,3,0,2,2,3,"You might consider this course, but explore other options too."
Diploma in Communication and Motion Design,3,0,1,5,0,5,5,5,4,5,5,3,1,3,5,5,2,0,0,1,0,4,0,2,3,"You might consider this course, but explore other options too."
Diploma in Communication and Motion Design,3,1,2,5,0,2,5,0,2,5,1,2,0,5,1,3,1,1,4,2,3,5,2,3,1,"You might consider this course, but explore other options too."
Diploma in Communication and Motion Design,5,5,5,5,2,2,5,4,4,2,0,3,3,2,2,2,3,3,1,4,4,0,1,5,4,"Recommended course, you may find it interesting."
Diploma in Electronics,4,2,3,5,4,1,3,1,1,1,3,2,3,2,1,0,3,1,5,5,4,1,5,0,5,"You might consider this course, but explore other options too."
Diploma in Electronics,0,2,2,5,3,3,1,4,1,2,1,5,2,1,4,4,3,4,3,3,3,2,4,3,5,"You might consider this course, but explore other options too."
Diploma in Electronics,4,3,5,4,4,2,0,2,5,4,1,3,4,2,1,1,1,5,4,5,5,5,5,5,4,"Recommended course, you may find it interesting."
Diploma in Electronics,3,5,4,2,5,4,1,2,3,2,2,2,4,3,4,2,1,2,5,4,1,4,0,0,3,"You might consider this course, but explore other options too."
Diploma in Electronics,2,0,2,5,0,3,3,4,3,5,3,3,2,0,5,1,0,2,4,2,1,5,5,5,4,"You might consider this course, but explore other options too."
Diploma in Electronics,0,3,4,3,1,5,2,1,4,0,1,1,0,2,4,0,5,5,0,5,5,5,2,4,1,"You might consider this course, but explore other options too."
Diploma in Electronics,1,1,3,1,4,5,2,1,4,4,0,4,3,2,2,5,3,1,5,1,1,0,1,5,4,"You might consider this course, but explore other options too."
Diploma in Electronics,4,3,5,4,4,2,0,2,5,4,1,3,4,2,1,1,1,5,4,5,5,5,5,5,4,"Recommended course, you may find it interesting."
Diploma in Electronics,0,3,4,3,1,5,2,1,4,0,1,1,0,2,4,0,5,5,0,5,5,5,2,4,1,"You might consider this course, but explore other options too."
Diploma in Electronics,5,5,0,2,3,3,2,4,5,2,3,2,4,5,4,1,3,1,0,5,1,1,2,1,3,"You might consider this course, but explore other options too."
Diploma in Electronics,3,2,5,4,5,2,3,3,5,2,3,2,3,0,3,5,5,1,3,3,5,5,3,2,1,"Recommended course, you may find it interesting."
Diploma in Electronics,1,2,5,0,2,4,0,4,4,1,3,4,3,5,5,2,2,3,1,3,4,4,0,3,0,"You might consider this course, but explore other options too."
Diploma in Electronics,1,2,5,0,2,4,0,4,4,1,3,4,3,5,5,2,2,3,1,3,4,4,0,3,0,"You might consider this course, but explore other options too."
Diploma in Electronics,3,2,1,2,1,1,1,0,3,5,5,0,0,1,4,0,2,1,3,2,2,2,0,1,3,This course may not align well with your interests.
Diploma in Electronics,2,5,2,3,3,5,1,2,5,1,4,1,4,1,0,2,5,4,0,5,3,2,1,1,4,"You might consider this course, but explore other options too."
Diploma in Food and Beverage Business,4,4,1,2,2,4,1,1,5,0,5,4,3,2,1,1,5,3,4,5,3,3,5,5,3,"Recommended course, you may find it interesting."
Diploma in Food and Beverage Business,3,4,3,4,0,4,5,4,2,5,4,4,0,2,0,2,4,4,1,0,1,5,3,0,1,"You might consider this course, but explore other options too."
Diploma in Food and Beverage Business,3,3,5,1,4,5,1,2,3,3,3,4,1,2,3,3,1,4,0,2,0,0,5,2,0,"You might consider this course, but explore other options too."
Diploma in Food and Beverage Business,3,0,5,1,4,4,3,3,0,1,4,5,2,0,5,2,5,2,3,3,1,3,3,0,2,"You might consider this course, but explore other options too."
Diploma in Food and Beverage Business,4,2,4,1,2,5,4,4,3,2,4,5,3,3,4,5,1,4,0,0,1,4,2,0,2,"You might consider this course, but explore other options too."
Diploma in Food and Beverage Business,2,1,5,1,1,4,3,2,3,1,4,4,3,3,4,0,1,2,4,0,1,4,4,3,2,"You might consider this course, but explore other options too."
Diploma in Food and Beverage Business,4,1,5,1,4,2,4,1,4,1,3,4,5,1,1,0,3,3,1,5,4,3,0,0,3,"You might consider this course, but explore other options too."
Diploma in Food and Beverage Business,3,4,3,4,0,4,5,4,2,5,4,4,0,2,0,2,4,4,1,0,1,5,3,0,1,"You might consider this course, but explore other options too."
Diploma in Food and Beverage Business,2,1,5,1,1,4,3,2,3,1,4,4,3,3,4,0,1,2,4,0,1,4,4,3,2,"You might consider this course, but explore other options too."
Diploma in Food and Beverage Business,3,0,2,2,1,4,1,2,1,2,2,5,3,3,4,3,4,3,1,3,2,4,5,3,2,"You might consider this course, but explore other options too."
Diploma in Food and Beverage Business,4,0,4,1,0,4,5,0,1,2,2,4,5,0,3,4,4,3,1,3,5,2,0,5,5,"You might consider this course, but explore other options too."
Diploma in Food and Beverage Business,3,4,2,1,1,4,1,5,5,4,4,5,4,2,0,5,1,4,2,1,1,4,5,0,3,"You might consider this course, but explore other options too."
Diploma in Food and Beverage Business,3,5,0,1,2,4,4,4,3,2,1,5,2,1,1,3,1,4,3,4,3,0,4,5,4,"You might consider this course, but explore other options too."
Diploma in Food and Beverage Business,4,1,2,1,1,4,4,5,2,1,4,5,4,3,1,1,2,4,1,1,0,5,0,2,5,"You might consider this course, but explore other options too."
Diploma in Food and Beverage Business,4,2,0,1,0,5,0,5,2,0,5,4,0,3,3,0,5,4,1,2,0,4,1,0,5,"You might consider this course, but explore other options too."
Diploma in Customer Experience Management with Business,3,0,5,1,4,5,5,2,4,4,2,4,0,1,0,3,2,2,1,0,3,1,4,0,3,"You might consider this course, but explore other options too."
Diploma in Customer Experience Management with Business,3,1,3,1,3,4,1,2,0,2,0,5,4,2,4,1,2,3,4,1,5,3,0,5,2,"You might consider this course, but explore other options too."
Diploma in Customer Experience Management with Business,2,0,3,1,2,0,4,0,3,1,3,4,2,5,4,2,2,4,2,4,0,4,5,4,2,"You might consider this course, but explore other options too."
Diploma in Customer Experience Management with Business,4,3,5,1,0,2,2,4,2,1,3,5,3,4,0,4,1,3,4,4,1,2,0,4,4,"You might consider this course, but explore other options too."
Diploma in Customer Experience Management with Business,4,4,1,1,2,4,2,4,1,2,4,5,3,1,1,1,3,2,2,3,3,0,5,5,0,"You might consider this course, but explore other options too."
Diploma in Customer Experience Management with Business,4,2,1,1,1,5,4,5,1,3,0,5,5,1,1,3,1,2,5,2,5,2,4,4,1,"You might consider this course, but explore other options too."
Diploma in Customer Experience Management with Business,2,4,5,1,5,5,5,3,2,1,5,5,5,3,5,3,0,4,4,5,0,3,5,5,1,"Recommended course, you may find it interesting."
Diploma in Customer Experience Management with Business,3,3,2,1,5,5,5,1,1,4,4,5,2,5,3,5,5,0,0,5,3,2,2,0,4,"Recommended course, you may find it interesting."
Diploma in Customer Experience Management with Business,4,0,4,1,0,0,3,2,1,5,3,5,2,0,5,2,5,2,1,0,3,4,4,0,4,"You might consider this course, but explore other options too."
Diploma in Customer Experience Management with Business,4,2,1,1,1,5,4,5,1,3,0,5,5,1,1,3,1,2,5,2,5,2,4,4,1,"You might consider this course, but explore other options too."
Diploma in Customer Experience Management with Business,4,3,2,1,2,4,0,4,5,3,1,5,2,2,0,3,0,4,3,2,5,2,1,4,3,"You might consider this course, but explore other options too."
Diploma in Customer Experience Management with Business,4,1,2,0,3,4,5,5,2,4,3,5,3,0,1,3,1,2,0,0,3,5,1,5,3,"You might consider this course, but explore other options too."
Diploma in Customer Experience Management with Business,4,4,3,1,0,4,5,0,4,1,0,5,1,4,0,4,5,2,5,4,0,0,5,0,5,"You might consider this course, but explore other options too."
Diploma in Customer Experience Management with Business,2,4,5,1,5,5,5,3,2,1,5,5,5,3,5,3,0,4,4,5,0,3,5,5,1,"Recommended course, you may find it interesting."
Diploma in Customer Experience Management with Business,3,0,1,1,3,4,4,4,1,4,3,5,2,4,2,4,1,3,0,5,2,5,0,3,5,"You might consider this course, but explore other options too."
Diploma in Aeronautical and Aerospace Technology,0,2,0,5,4,3,1,5,4,0,4,3,1,4,5,1,0,3,5,2,3,0,5,3,5,"You might consider this course, but explore other options too."
Diploma in Aeronautical and Aerospace Technology,5,3,5,0,4,1,1,1,0,2,1,0,0,2,4,4,5,3,4,1,2,5,1,0,1,"You might consider this course, but explore other options too."
Diploma in Aeronautical and Aerospace Technology,0,3,0,5,2,0,1,5,3,0,3,2,0,4,3,3,2,1,5,1,2,4,5,1,4,"You might consider this course, but explore other options too."
Diploma in Aeronautical and Aerospace Technology,0,4,2,3,4,4,4,2,2,1,4,0,4,0,1,3,2,2,1,0,4,4,5,0,3,"You might consider this course, but explore other options too."
Diploma in Aeronautical and Aerospace Technology,4,0,5,1,5,1,4,5,2,3,2,4,5,0,4,3,2,0,5,4,1,0,0,1,4,"You might consider this course, but explore other options too."
Diploma in Aeronautical and Aerospace Technology,1,2,2,1,2,1,4,4,2,1,4,1,3,5,4,0,3,5,5,1,3,2,5,0,0,"You might consider this course, but explore other options too."
Diploma in Aeronautical and Aerospace Technology,0,3,4,3,5,1,4,1,2,5,4,3,3,4,4,0,4,2,5,4,1,1,3,4,1,"You might consider this course, but explore other options too."
Diploma in Aeronautical and Aerospace Technology,1,5,4,1,0,1,5,2,4,2,0,4,5,4,3,1,4,5,1,0,2,4,3,1,2,"You might consider this course, but explore other options too."
Diploma in Aeronautical and Aerospace Technology,0,5,1,4,0,2,0,3,0,3,0,3,2,1,1,4,4,3,0,4,0,4,0,2,2,This course may not align well with your interests.
Diploma in Aeronautical and Aerospace Technology,5,1,4,4,1,0,0,4,2,2,2,5,3,1,0,3,0,3,5,0,4,1,2,2,2,"You might consider this course, but explore other options too."
Diploma in Aeronautical and Aerospace Technology,4,5,0,3,3,1,4,3,3,5,4,2,4,5,5,1,1,5,0,2,2,2,3,3,3,"You might consider this course, but explore other options too."
Diploma in Aeronautical and Aerospace Technology,4,0,5,1,5,1,4,5,2,3,2,4,5,0,4,3,2,0,5,4,1,0,0,1,4,"You might consider this course, but explore other options too."
Diploma in Aeronautical and Aerospace Technology,5,1,2,0,1,0,0,3,5,0,1,3,4,1,0,2,5,3,5,2,0,2,1,4,3,"You might consider this course, but explore other options too."
Diploma in Aeronautical and Aerospace Technology,2,4,4,4,3,2,0,1,0,0,5,3,0,3,1,5,3,0,3,3,3,3,3,2,4,"You might consider this course, but explore other options too."
Diploma in Aeronautical and Aerospace Technology,4,0,5,1,5,1,4,5,2,3,2,4,5,0,4,3,2,0,5,4,1,0,0,1,4,"You might consider this course, but explore other options too."
Diploma in Perfumery and Cosmetic Science,0,2,0,5,2,2,1,4,2,4,3,0,5,3,0,2,0,1,5,2,0,0,4,4,0,"You might consider this course, but explore other options too."
Diploma in Perfumery and Cosmetic Science,5,2,3,4,1,5,2,1,1,4,0,5,2,4,0,5,3,4,0,2,3,0,2,3,4,"You might consider this course, but explore other options too."
Diploma in Perfumery and Cosmetic Science,4,0,2,2,2,4,0,3,4,2,1,1,2,4,3,5,3,1,3,0,1,2,1,5,4,"You might consider this course, but explore other options too."
Diploma in Perfumery and Cosmetic Science,3,1,2,4,3,2,2,1,0,0,5,0,0,0,4,5,1,3,1,1,4,0,5,1,5,"You might consider this course, but explore other options too."
Diploma in Perfumery and Cosmetic Science,2,3,0,4,1,3,5,2,2,0,2,2,4,1,3,1,1,3,4,5,4,4,3,2,5,"You might consider this course, but explore other options too."
Diploma in Perfumery and Cosmetic Science,2,4,2,2,5,2,5,0,2,1,1,1,2,2,1,4,4,4,3,5,4,3,1,0,1,"You might consider this course, but explore other options too."
Diploma in Perfumery and Cosmetic Science,3,1,3,0,0,3,1,2,0,0,0,0,5,4,0,3,1,3,2,0,1,1,4,1,3,This course may not align well with your interests.
Diploma in Perfumery and Cosmetic Science,3,3,2,3,0,3,0,5,4,5,5,0,4,5,3,2,3,2,1,0,1,4,1,0,5,"You might consider this course, but explore other options too."
Diploma in Perfumery and Cosmetic Science,4,1,4,3,2,2,2,1,5,1,4,5,1,1,5,2,1,1,3,3,5,2,3,5,5,"You might consider this course, but explore other options too."
Diploma in Perfumery and Cosmetic Science,5,1,5,2,2,4,5,5,1,1,3,3,5,2,5,3,5,3,4,0,5,2,2,1,4,"Recommended course, you may find it interesting."
Diploma in Perfumery and Cosmetic Science,0,2,0,5,2,2,1,4,2,4,3,0,5,3,0,2,0,1,5,2,0,0,4,4,0,"You might consider this course, but explore other options too."
Diploma in Perfumery and Cosmetic Science,1,5,4,1,5,2,0,4,1,5,4,3,5,5,2,3,2,2,5,1,2,3,5,3,4,"Recommended course, you may find it interesting."
Diploma in Perfumery and Cosmetic Science,4,5,2,4,5,4,4,4,3,5,4,1,4,5,2,2,2,4,2,2,3,3,4,2,5,"Recommended course, you may find it interesting."
Diploma in Perfumery and Cosmetic Science,5,2,3,4,1,5,2,1,1,4,0,5,2,4,0,5,3,4,0,2,3,0,2,3,4,"You might consider this course, but explore other options too."
Diploma in Perfumery and Cosmetic Science,5,1,5,2,2,4,5,5,1,1,3,3,5,2,5,3,5,3,4,0,5,2,2,1,4,"Recommended course, you may find it interesting."
Diploma in Food Science and Nutrition,5,2,1,2,4,3,3,1,4,4,0,2,2,0,4,1,5,1,5,1,5,4,1,0,3,"You might consider this course, but explore other options too."
Diploma in Food Science and Nutrition,4,1,1,5,2,2,5,2,4,0,1,2,3,4,2,5,3,0,0,3,3,5,3,4,5,"You might consider this course, but explore other options too."
Diploma in Food Science and Nutrition,2,2,1,0,2,5,5,0,0,0,2,3,5,0,5,5,0,4,4,3,1,5,1,4,5,"You might consider this course, but explore other options too."
Diploma in Food Science and Nutrition,5,4,4,0,3,0,2,0,0,5,3,1,3,2,5,1,2,5,5,2,2,5,3,0,5,"You might consider this course, but explore other options too."
Diploma in Food Science and Nutrition,4,2,4,0,2,5,2,2,3,3,2,0,5,1,3,5,0,1,5,3,1,0,3,3,3,"You might consider this course, but explore other options too."
Diploma in Food Science and Nutrition,5,3,5,3,0,2,2,4,5,2,4,2,5,3,2,5,1,5,0,4,5,0,5,2,5,"Recommended course, you may find it interesting."
Diploma in Food Science and Nutrition,0,0,1,5,5,5,4,5,2,2,5,4,4,3,2,1,5,4,0,2,2,0,3,2,5,"You might consider this course, but explore other options too."
Diploma in Food Science and Nutrition,5,2,1,2,4,3,3,1,4,4,0,2,2,0,4,1,5,1,5,1,5,4,1,0,3,"You might consider this course, but explore other options too."
Diploma in Food Science and Nutrition,4,2,4,0,2,1,1,5,3,5,1,3,5,4,3,1,1,5,4,4,1,2,2,5,0,"You might consider this course, but explore other options too."
Diploma in Food Science and Nutrition,2,2,3,3,2,1,1,4,3,2,0,1,4,3,5,4,1,2,4,0,5,3,5,3,5,"You might consider this course, but explore other options too."
Diploma in Food Science and Nutrition,0,1,0,3,0,2,5,0,0,4,1,0,5,3,2,3,1,2,0,4,4,1,1,5,3,"You might consider this course, but explore other options too."
Diploma in Food Science and Nutrition,1,2,2,4,1,4,4,5,2,0,4,3,2,0,5,4,5,2,3,3,2,1,4,1,2,"You might consider this course, but explore other options too."
Diploma in Food Science and Nutrition,4,3,2,3,1,5,1,2,4,2,2,4,0,3,4,0,1,3,2,0,5,2,5,5,2,"You might consider this course, but explore other options too."
Diploma in Food Science and Nutrition,4,3,2,3,1,5,1,2,4,2,2,4,0,3,4,0,1,3,2,0,5,2,5,5,2,"You might consider this course, but explore other options too."
Diploma in Food Science and Nutrition,5,0,4,4,0,4,4,4,0,0,1,4,0,5,2,1,0,5,0,0,3,0,3,3,2,"You might consider this course, but explore other options too."
Diploma in Food Science and Technology,3,4,2,3,5,5,2,5,2,4,4,3,3,0,1,3,3,4,0,3,1,1,2,4,0,"You might consider this course, but explore other options too."
Diploma in Food Science and Technology,1,4,5,4,3,3,3,1,3,4,0,1,2,0,3,0,3,2,2,2,3,0,4,3,0,"You might consider this course, but explore other options too."
Diploma in Food Science and Technology,1,2,4,2,1,2,4,3,2,1,3,3,0,5,5,3,1,5,0,2,1,0,2,5,1,"You might consider this course, but explore other options too."
Diploma in Food Science and Technology,3,4,1,4,2,4,0,5,3,4,3,4,1,2,5,2,2,5,1,4,2,1,4,4,0,"You might consider this course, but explore other options too."
Diploma in Food Science and Technology,5,0,4,5,0,0,5,5,3,4,0,0,4,1,4,4,3,1,5,4,3,1,5,2,0,"You might consider this course, but explore other options too."
Diploma in Food Science and Technology,1,1,3,3,2,5,1,2,3,4,5,3,4,0,2,3,1,1,5,4,3,3,1,0,5,"You might consider this course, but explore other options too."
Diploma in Food Science and Technology,2,0,2,1,1,3,1,1,2,0,4,5,5,2,5,4,0,5,1,4,3,2,3,0,1,"You might consider this course, but explore other options too."
Diploma in Food Science and Technology,1,5,2,2,3,2,3,1,2,1,2,4,1,4,4,0,5,0,4,1,3,4,5,4,3,"You might consider this course, but explore other options too."
Diploma in Food Science and Technology,3,5,0,2,3,4,5,0,5,4,5,5,0,4,0,1,3,0,5,5,4,3,4,4,4,"Recommended course, you may find it interesting."
